,fitness
0,678.5615914746809
1,809.0781865269971
2,845.9633957362863
3,708.1205618076324
4,915.5896258552425
5,848.5451317519569
6,837.5546548224119
7,813.6510057345354
8,911.2679412294083
9,709.7146693975682
0,500.00000000002376
1,500.0000000203148
2,500.0000000011155
3,500.9949929846762
4,500.9950543849377
5,500.0000000009424
6,500.00000000139744
7,500.0000000006321
8,500.0000000833734
9,500.0000000001271
10,400.0000392247649
11,400.0000017917368
12,400.0000174601008
13,400.0000053151448
14,400.00001049942233
15,400.0000027699094
16,400.0000010739736
17,400.0033413773947
18,400.00000024218025
19,400.000000625645
20,300.0000000633489
21,300.00000000384455
22,300.00000000000455
23,300.00000000003297
24,300.00000000790345
25,300.0000000026148
26,300.0000000085871
27,300.0000000201184
28,300.00000007755267
29,300.0000000046438
30,200.1180118876259
31,200.00370562547545
32,200.0183548489292
33,200.0189562870511
34,200.1111561600345
35,200.03683993544087
36,200.04934040159995
37,200.08820729466416
38,200.0789041529121
39,200.10012716999148
