,fitness
0,2744.123492778353
1,2835.0820827901052
2,2810.8239056122557
3,2772.6509174573675
4,2762.7887025641976
5,2754.3334019189106
6,2797.8645801614693
7,2761.9355998627975
8,2743.008605590463
9,2500.0020718343017
0,2640.276685460376
1,2667.9922252425417
2,2664.2994504127023
3,2670.34528474042
4,2698.61209248107
5,2644.264569188759
6,2689.5682637825253
7,2674.665634608671
8,2673.699037247551
9,2652.912877853905
10,2311.801287966548
11,2314.9667274030576
12,2321.362977183305
13,3752.677971514412
14,2322.686222471867
15,2332.823183031048
16,2316.593034534667
17,2313.271400089252
18,2327.31814858348
19,2330.229154730873
20,2353.408579783641
21,2366.05123064128
22,2365.672782662642
23,2339.1332888272195
24,2337.3489149640004
25,2336.844327714206
26,2341.07864875466
27,2361.002948275038
28,2329.1772502451054
29,2386.423917078147
